episode,score,avg_score,loss,epsilon
1,0,0.0,0.0,0.5
2,0,0.0,0.0,0.25
3,0,0.0,0.0,0.125
4,0,0.0,0.0,0.0625
5,0,0.0,0.0,0.0312
6,0,0.0,0.0,0.0156
7,0,0.0,5.3466,0.0078
8,0,0.0,1.681,0.0078
9,0,0.0,1.0068,0.0078
10,0,0.0,0.959,0.0078
11,2,0.18,1.0736,0.0078
12,0,0.17,1.0517,0.0078
13,5,0.54,1.3312,0.0078
14,4,0.79,1.5026,0.0078
15,11,1.47,1.6221,0.0078
16,2,1.5,1.8956,0.0078
17,0,1.41,1.5174,0.0078
18,15,2.17,1.7005,0.0078
19,2,2.16,1.66,0.0078
20,3,2.2,1.6719,0.0078
21,0,2.1,1.7853,0.0078
22,8,2.36,1.734,0.0078
23,20,3.13,1.6942,0.0078
24,10,3.42,1.7095,0.0078
25,17,3.96,1.9127,0.0078
26,16,4.42,1.8798,0.0078
27,3,4.37,1.8515,0.0078
28,7,4.46,2.0252,0.0078
29,9,4.62,1.8774,0.0078
30,20,5.13,2.0363,0.0078
31,3,5.06,1.9127,0.0078
32,7,5.12,2.3606,0.0078
33,8,5.21,2.0325,0.0078
34,20,5.65,2.2883,0.0078
35,17,5.97,2.4032,0.0078
36,2,5.86,2.5266,0.0078
37,7,5.89,2.338,0.0078
38,7,5.92,2.6319,0.0078
39,22,6.33,2.8618,0.0078
40,21,6.7,2.7754,0.0078
41,16,6.93,3.0943,0.0078
42,21,7.26,3.4159,0.0078
43,11,7.35,3.3755,0.0078
44,19,7.61,3.2376,0.0078
45,2,7.49,3.126,0.0078
46,11,7.57,3.5051,0.0078
47,5,7.51,3.4179,0.0078
48,11,7.58,3.4703,0.0078
49,7,7.57,3.7228,0.0078
50,18,7.78,3.5894,0.0078
51,12,8.02,3.7954,0.0078
52,12,8.26,3.7785,0.0078
53,14,8.54,3.7618,0.0078
54,11,8.76,3.6887,0.0078
55,18,9.12,4.2493,0.0078
56,15,9.42,4.1152,0.0078
57,5,9.52,4.2849,0.0078
58,15,9.82,4.3419,0.0078
59,26,10.34,4.2401,0.0078
60,14,10.62,4.6636,0.0078
61,11,10.8,5.003,0.0078
62,0,10.8,3.1545,0.0078
63,22,11.14,4.6417,0.0078
64,3,11.12,3.9636,0.0078
65,17,11.24,4.7649,0.0078
66,15,11.5,4.8931,0.0078
67,9,11.68,4.9521,0.0078
68,13,11.64,5.0973,0.0078
69,18,11.96,5.1688,0.0078
70,17,12.24,5.1166,0.0078
71,11,12.46,4.8509,0.0078
72,12,12.54,5.3866,0.0078
73,7,12.28,5.1638,0.0078
74,17,12.42,5.4218,0.0078
75,21,12.5,5.2749,0.0078
76,12,12.42,5.4726,0.0078
77,17,12.7,5.5114,0.0078
78,25,13.06,5.8076,0.0078
79,16,13.2,5.7742,0.0078
80,24,13.28,5.7747,0.0078
81,6,13.34,5.5804,0.0078
82,11,13.42,6.5251,0.0078
83,13,13.52,6.1084,0.0078
84,9,13.3,5.8887,0.0078
85,24,13.44,6.2965,0.0078
86,20,13.8,5.8458,0.0078
87,9,13.84,6.7506,0.0078
88,18,14.06,6.0759,0.0078
89,17,13.96,6.0879,0.0078
90,12,13.78,6.3249,0.0078
91,11,13.68,6.0586,0.0078
92,23,13.72,6.7678,0.0078
93,16,13.82,6.8527,0.0078
94,23,13.9,6.5235,0.0078
95,20,14.26,7.0121,0.0078
96,8,14.2,6.5356,0.0078
97,21,14.52,6.7444,0.0078
98,10,14.5,6.4419,0.0078
99,7,14.5,6.6576,0.0078
100,23,14.6,6.9668,0.0078
101,22,14.8,7.0432,0.0078
102,8,14.72,7.8708,0.0078
103,13,14.7,7.0939,0.0078
104,18,14.84,7.1939,0.0078
105,4,14.56,7.0591,0.0078
106,10,14.46,7.9032,0.0078
107,28,14.92,7.342,0.0078
108,7,14.76,6.8257,0.0078
109,7,14.38,7.6421,0.0078
110,25,14.6,7.7681,0.0078
111,29,14.96,7.69,0.0078
112,16,15.28,8.0485,0.0078
113,11,15.06,7.2062,0.0078
114,21,15.42,7.9287,0.0078
115,12,15.32,8.5102,0.0078
116,7,15.16,8.0004,0.0078
117,7,15.12,8.8649,0.0078
118,4,14.94,8.066,0.0078
119,17,14.92,8.3331,0.0078
120,3,14.64,8.4065,0.0078
121,7,14.56,8.5928,0.0078
122,2,14.36,8.5991,0.0078
123,16,14.54,8.515,0.0078
124,9,14.38,8.4543,0.0078
125,28,14.52,8.2719,0.0078
126,7,14.42,9.1012,0.0078
127,25,14.58,8.769,0.0078
128,15,14.38,8.3357,0.0078
129,25,14.56,7.8916,0.0078
130,13,14.34,8.4112,0.0078
131,10,14.42,8.4335,0.0078
132,22,14.64,8.9552,0.0078
133,7,14.52,8.6191,0.0078
134,4,14.42,10.6451,0.0078
135,14,14.22,8.5961,0.0078
136,21,14.24,8.6326,0.0078
137,9,14.24,8.5745,0.0078
138,18,14.24,9.2697,0.0078
139,10,14.1,7.782,0.0078
140,6,13.98,7.888,0.0078
141,5,13.86,8.819,0.0078
142,10,13.6,8.8789,0.0078
143,7,13.42,9.2907,0.0078
144,13,13.22,8.4532,0.0078
145,14,13.1,8.5287,0.0078
146,26,13.46,8.7548,0.0078
147,6,13.16,9.7935,0.0078
148,8,13.12,9.5222,0.0078
149,10,13.18,9.4806,0.0078
150,18,13.08,9.4076,0.0078
151,23,13.1,8.7867,0.0078
152,24,13.42,8.8247,0.0078
153,12,13.4,9.0777,0.0078
154,17,13.38,8.9577,0.0078
155,17,13.64,8.6802,0.0078
156,10,13.64,9.4976,0.0078
157,5,13.18,8.7856,0.0078
158,19,13.42,8.4415,0.0078
159,17,13.62,9.0597,0.0078
160,15,13.42,9.058,0.0078
161,3,12.9,10.4232,0.0078
162,16,12.9,8.9064,0.0078
163,14,12.96,9.0027,0.0078
164,7,12.68,9.4567,0.0078
165,17,12.78,9.3543,0.0078
166,4,12.72,9.581,0.0078
167,10,12.78,9.0454,0.0078
168,12,12.94,8.7886,0.0078
169,6,12.72,9.0708,0.0078
170,5,12.76,10.0575,0.0078
171,19,13.0,9.7873,0.0078
172,15,13.26,9.318,0.0078
173,21,13.36,9.4292,0.0078
