episode,score,avg_score,loss,epsilon
1,0,0.0,0.0,0.995
2,0,0.0,0.0,0.99
3,0,0.0,0.0,0.9851
4,0,0.0,0.0,0.9801
5,1,0.2,0.0,0.9752
6,0,0.17,10.88,0.9704
7,0,0.14,8.0219,0.9655
8,0,0.12,5.8475,0.9607
9,0,0.11,5.6827,0.9559
10,0,0.1,4.6647,0.9511
11,1,0.18,4.4423,0.9464
12,1,0.25,4.4441,0.9416
13,0,0.23,3.084,0.9369
14,0,0.21,1.3603,0.9322
15,0,0.2,1.7008,0.9276
16,1,0.25,1.0855,0.9229
17,0,0.24,1.2157,0.9183
18,0,0.22,1.1079,0.9137
19,0,0.21,1.1945,0.9092
20,0,0.2,0.979,0.9046
21,0,0.19,1.09,0.9001
22,0,0.18,0.7628,0.8956
23,0,0.17,0.7581,0.8911
24,0,0.17,0.6226,0.8867
25,0,0.16,0.7747,0.8822
26,0,0.15,0.51,0.8778
27,0,0.15,0.4344,0.8734
28,0,0.14,0.3448,0.8691
29,0,0.14,0.492,0.8647
30,0,0.13,0.9104,0.8604
31,0,0.13,0.3335,0.8561
32,0,0.12,0.4091,0.8518
33,0,0.12,0.372,0.8475
34,1,0.15,0.4943,0.8433
35,0,0.14,0.3649,0.8391
36,0,0.14,0.5131,0.8349
37,0,0.14,0.4604,0.8307
38,0,0.13,0.7512,0.8266
39,0,0.13,0.1775,0.8224
40,0,0.12,0.5311,0.8183
41,0,0.12,0.8619,0.8142
42,0,0.12,0.765,0.8102
43,0,0.12,0.6462,0.8061
44,1,0.14,0.3417,0.8021
45,1,0.16,0.6379,0.7981
46,0,0.15,0.1473,0.7941
47,0,0.15,0.151,0.7901
48,0,0.15,0.605,0.7862
49,0,0.14,0.657,0.7822
50,0,0.14,0.7711,0.7783
51,0,0.14,1.6086,0.7744
52,0,0.14,0.7071,0.7705
53,0,0.14,0.599,0.7667
54,0,0.14,0.7568,0.7629
55,0,0.12,1.5345,0.759
56,0,0.12,0.6147,0.7553
57,0,0.12,0.9368,0.7515
58,0,0.12,0.9514,0.7477
59,0,0.12,0.5349,0.744
60,0,0.12,0.7324,0.7403
61,0,0.1,0.7712,0.7366
62,1,0.1,0.8619,0.7329
63,0,0.1,1.5317,0.7292
64,0,0.1,0.9535,0.7256
65,0,0.1,0.5572,0.7219
66,0,0.08,0.9123,0.7183
67,0,0.08,0.8952,0.7147
68,0,0.08,0.6747,0.7112
69,0,0.08,1.296,0.7076
70,0,0.08,0.7753,0.7041
71,1,0.1,1.0249,0.7005
72,0,0.1,1.4202,0.697
73,1,0.12,1.1416,0.6936
74,0,0.12,0.6985,0.6901
75,0,0.12,1.1931,0.6866
76,0,0.12,0.9807,0.6832
77,0,0.12,0.9848,0.6798
78,0,0.12,0.9456,0.6764
79,1,0.14,1.156,0.673
80,0,0.14,0.3057,0.6696
81,0,0.14,1.0475,0.6663
82,1,0.16,1.4003,0.663
83,0,0.16,1.4728,0.6597
84,1,0.16,1.0607,0.6564
85,0,0.16,1.5813,0.6531
86,0,0.16,0.7976,0.6498
87,2,0.2,1.4458,0.6466
88,0,0.2,1.643,0.6433
89,0,0.2,1.6765,0.6401
90,2,0.24,1.6056,0.6369
91,1,0.26,1.3399,0.6337
92,0,0.26,1.4183,0.6306
93,0,0.26,1.4907,0.6274
94,1,0.26,1.4711,0.6243
95,0,0.24,1.6061,0.6211
96,0,0.24,1.7404,0.618
97,0,0.24,1.4819,0.6149
98,0,0.24,2.053,0.6119
99,0,0.24,0.9337,0.6088
100,0,0.24,1.7172,0.6058
101,0,0.24,1.0335,0.6027
102,0,0.24,2.2116,0.5997
103,1,0.26,1.2784,0.5967
104,1,0.28,1.5954,0.5937
105,0,0.28,1.7262,0.5908
106,0,0.28,1.5694,0.5878
107,0,0.28,1.7088,0.5849
108,0,0.28,1.7671,0.582
109,1,0.3,1.5118,0.579
110,1,0.32,1.5193,0.5762
111,0,0.32,1.8832,0.5733
112,2,0.34,1.7535,0.5704
113,0,0.34,1.4024,0.5676
114,1,0.36,1.3505,0.5647
115,0,0.36,1.7361,0.5619
116,0,0.36,2.7574,0.5591
117,1,0.38,1.5975,0.5563
118,0,0.38,1.6546,0.5535
119,0,0.38,0.8897,0.5507
120,1,0.4,1.7649,0.548
121,0,0.38,1.0905,0.5452
122,0,0.38,0.9288,0.5425
123,1,0.38,1.6502,0.5398
124,0,0.38,2.1254,0.5371
125,0,0.38,1.6606,0.5344
126,0,0.38,0.8802,0.5318
127,1,0.4,1.6473,0.5291
128,0,0.4,2.0308,0.5264
129,2,0.42,1.4632,0.5238
130,1,0.44,1.9005,0.5212
131,1,0.46,2.6794,0.5186
132,0,0.44,1.5775,0.516
133,0,0.44,2.1303,0.5134
134,5,0.52,1.8912,0.5108
