episode,score,avg_score,loss,epsilon
1,0,0.0,0.0,0.5
2,0,0.0,0.0,0.25
3,0,0.0,0.0,0.125
4,0,0.0,0.0,0.0625
5,0,0.0,0.0,0.0312
6,0,0.0,0.0,0.0156
7,0,0.0,0.0,0.0078
8,0,0.0,10.0943,0.0078
9,0,0.0,10.4964,0.0078
10,0,0.0,9.4963,0.0078
11,0,0.0,8.3728,0.0078
12,0,0.0,7.2048,0.0078
13,1,0.08,2.7426,0.0078
14,1,0.14,0.8017,0.0078
15,1,0.2,0.9866,0.0078
16,2,0.31,1.1301,0.0078
17,0,0.29,1.2405,0.0078
18,1,0.33,1.0278,0.0078
19,0,0.32,1.0966,0.0078
20,1,0.35,1.3639,0.0078
21,0,0.33,1.2614,0.0078
22,9,0.73,1.2159,0.0078
23,18,1.48,1.3886,0.0078
24,2,1.5,1.746,0.0078
25,6,1.68,1.5618,0.0078
26,19,2.35,1.7662,0.0078
27,0,2.26,1.7698,0.0078
28,3,2.29,1.7295,0.0078
29,3,2.31,1.6607,0.0078
30,1,2.27,1.6626,0.0078
31,9,2.48,1.7125,0.0078
32,27,3.25,1.9142,0.0078
33,5,3.3,1.9026,0.0078
34,12,3.56,2.0836,0.0078
35,9,3.71,2.1121,0.0078
36,9,3.86,2.011,0.0078
37,10,4.03,2.1239,0.0078
38,14,4.29,2.2521,0.0078
39,9,4.41,2.2206,0.0078
40,12,4.6,2.2456,0.0078
41,15,4.85,2.3606,0.0078
42,3,4.81,2.5633,0.0078
43,6,4.84,2.6389,0.0078
44,7,4.89,2.5347,0.0078
45,15,5.11,2.7193,0.0078
46,4,5.09,2.6697,0.0078
47,17,5.34,3.3081,0.0078
48,14,5.52,3.2012,0.0078
49,17,5.76,3.2793,0.0078
50,13,5.9,3.278,0.0078
51,13,6.16,3.4871,0.0078
52,9,6.34,3.236,0.0078
53,5,6.44,4.0409,0.0078
54,27,6.98,3.6783,0.0078
55,13,7.24,3.7016,0.0078
56,28,7.8,3.8021,0.0078
57,16,8.12,4.4726,0.0078
58,15,8.42,4.1543,0.0078
59,17,8.76,4.4738,0.0078
60,15,9.06,4.2432,0.0078
61,11,9.28,4.2912,0.0078
62,12,9.52,4.4429,0.0078
63,18,9.86,4.5797,0.0078
64,20,10.24,4.872,0.0078
65,10,10.42,4.9222,0.0078
66,10,10.58,4.8481,0.0078
67,19,10.96,4.6934,0.0078
68,16,11.26,4.9873,0.0078
69,1,11.28,4.8971,0.0078
70,7,11.4,4.5455,0.0078
71,5,11.5,4.6644,0.0078
72,22,11.76,4.9528,0.0078
73,15,11.7,5.4423,0.0078
74,18,12.02,5.1519,0.0078
75,16,12.22,5.1567,0.0078
76,13,12.1,5.2276,0.0078
77,13,12.36,5.1762,0.0078
78,11,12.52,5.3002,0.0078
79,12,12.7,5.6041,0.0078
80,4,12.76,5.877,0.0078
81,3,12.64,5.1365,0.0078
82,10,12.3,5.1402,0.0078
83,20,12.6,5.6158,0.0078
84,6,12.48,5.5965,0.0078
85,21,12.72,5.6627,0.0078
86,19,12.92,5.7943,0.0078
87,13,12.98,5.8882,0.0078
88,13,12.96,5.7841,0.0078
89,27,13.32,6.1939,0.0078
90,16,13.4,5.8844,0.0078
91,9,13.28,6.3715,0.0078
92,21,13.64,6.2316,0.0078
93,15,13.82,6.2721,0.0078
94,7,13.82,6.3697,0.0078
95,9,13.7,6.5773,0.0078
96,14,13.9,6.5268,0.0078
97,26,14.08,6.8731,0.0078
98,3,13.86,7.8852,0.0078
99,18,13.88,7.1912,0.0078
100,5,13.72,7.5033,0.0078
101,7,13.6,6.6153,0.0078
102,25,13.92,7.0938,0.0078
103,3,13.88,6.5502,0.0078
104,4,13.42,7.0934,0.0078
105,10,13.36,7.006,0.0078
106,21,13.22,6.9347,0.0078
107,27,13.44,7.1126,0.0078
108,11,13.36,7.5465,0.0078
109,7,13.16,7.2305,0.0078
110,20,13.26,7.5125,0.0078
111,4,13.12,6.9687,0.0078
112,14,13.16,7.888,0.0078
113,1,12.82,7.8139,0.0078
114,13,12.68,7.3923,0.0078
115,19,12.86,7.526,0.0078
116,14,12.94,7.6974,0.0078
117,10,12.76,7.5839,0.0078
118,15,12.74,7.8327,0.0078
119,15,13.02,7.5341,0.0078
120,13,13.14,7.3396,0.0078
121,21,13.46,7.7534,0.0078
122,7,13.16,7.2787,0.0078
123,34,13.54,7.9771,0.0078
124,13,13.44,8.1054,0.0078
125,16,13.44,7.4702,0.0078
126,5,13.28,7.9518,0.0078
127,12,13.26,8.114,0.0078
128,16,13.36,8.1786,0.0078
129,17,13.46,7.698,0.0078
130,15,13.68,8.2119,0.0078
131,13,13.88,7.8539,0.0078
132,14,13.96,7.6548,0.0078
133,9,13.74,8.6972,0.0078
134,19,14.0,8.1434,0.0078
135,7,13.72,8.0532,0.0078
136,20,13.74,8.1485,0.0078
137,10,13.68,7.9337,0.0078
138,13,13.68,8.1557,0.0078
139,6,13.26,7.9326,0.0078
140,13,13.2,8.993,0.0078
141,15,13.32,8.5684,0.0078
142,28,13.46,8.3929,0.0078
143,24,13.64,8.1017,0.0078
144,7,13.64,7.9908,0.0078
145,10,13.66,8.3132,0.0078
146,10,13.58,8.5602,0.0078
147,5,13.16,8.4321,0.0078
148,12,13.34,8.0526,0.0078
149,19,13.36,8.2292,0.0078
150,19,13.64,7.8761,0.0078
151,18,13.86,8.5213,0.0078
152,24,13.84,7.9815,0.0078
153,16,14.1,8.8941,0.0078
154,21,14.44,8.4212,0.0078
155,14,14.52,8.7111,0.0078
156,10,14.3,7.5762,0.0078
157,6,13.88,9.2191,0.0078
158,13,13.92,8.579,0.0078
159,12,14.02,7.8466,0.0078
160,10,13.82,8.7813,0.0078
161,24,14.22,8.8895,0.0078
162,1,13.96,8.3975,0.0078
163,23,14.4,8.9429,0.0078
164,10,14.34,8.9999,0.0078
165,13,14.22,8.326,0.0078
166,28,14.5,8.659,0.0078
167,21,14.72,9.057,0.0078
168,14,14.7,8.8125,0.0078
169,20,14.8,9.5338,0.0078
170,8,14.7,9.0639,0.0078
171,21,14.7,8.9937,0.0078
172,11,14.78,8.9018,0.0078
173,8,14.26,8.496,0.0078
